module,loc,screens,risk,score
apps/petstore,14241,67,high,10
apps/admin,5012,4,high,8
apps/opc,3174,1,high,8
apps/supplier,2793,7,high,7
components/catalog,2521,0,high,7
components/purchaseorder,949,0,high,7
components/processmanager,785,0,medium,6
components/xmldocuments,1932,0,medium,6
components/customer,724,0,medium,5
components/signon,1047,0,medium,5
components/cart,494,0,medium,4
components/lineitem,477,0,medium,4
components/contactinfo,498,0,medium,3
components/address,438,0,medium,3
components/mailer,593,0,medium,3
components/creditcard,368,0,medium,3
components/supplierpo,759,0,medium,5
components/asyncsender,263,0,low,2
components/servicelocator,658,0,low,2
components/uidgen,360,0,low,2
components/util,80,0,low,1
components/encodingfilter,80,0,low,1
